FID,OBJECTID,SHAPE,BEZ,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDE,DATIERUNG,SE_ANNO_CAD_DATA
FUNDPUNKTEOGD.4547468,4547468,POINT (16.374497597734504 48.151038212637154),10,Selma-Lagerlöf-Gasse (Volksschule),,,"Einzel-, Streufund",Flachbeil,Urgeschichte,
FUNDPUNKTEOGD.4547469,4547469,POINT (16.35260922476923 48.215723420055596),9,Alser Straße (Altes AKH),4,,"Einzel-, Streufund",Keramik,Römerzeit,
FUNDPUNKTEOGD.4547470,4547470,POINT (16.38518164608143 48.19501674387195),3,Rennweg,33,33b,Siedlungsbefund,"Straße, Schwertklinge",Römerzeit,
FUNDPUNKTEOGD.4547471,4547471,POINT (16.404933078900797 48.193375263894794),3,Schlachthausgasse,39,,"Einzel-, Streufund",Keramik,Römerzeit,
FUNDPUNKTEOGD.4547472,4547472,POINT (16.383045706620443 48.19403988111825),3,Rennweg,14,,Grabbefund,menschliche Schädeldecke,unbekannt,
FUNDPUNKTEOGD.4547473,4547473,POINT (16.385068516319414 48.19842767552104),3,Rechte Bahngasse,40,,Grabbefund,"Brandgrab, Keramik, Menschenskelette",unbekannt,
FUNDPUNKTEOGD.4547474,4547474,POINT (16.38624280400246 48.194833705445944),3,Ungargasse,66,,Siedlungsbefund,"Mauerwerk, Ziegel, Keramik, Terra Sigillata, Tierknochen, Glas, Münze, Schmuck",Römerzeit,
FUNDPUNKTEOGD.4547475,4547475,POINT (16.42037691581938 48.13336646674842),10,Unterlaa (Johanneskirche),,,"Einzel-, Streufund","Ziegel, Terra Sigillata",Römerzeit,
FUNDPUNKTEOGD.4547476,4547476,POINT (16.42052052071945 48.133833547320954),10,Unterlaa,,,"Einzel-, Streufund",Keramik,Urgeschichte,
FUNDPUNKTEOGD.4547477,4547477,POINT (16.36925185366618 48.20596068017237),1,Spiegelgasse,23,,Siedlungsbefund,Brunnen,Neuzeit,
FUNDPUNKTEOGD.4547478,4547478,POINT (16.466728946526977 48.14953038921621),11,Csokorgasse,32,,Grabbefund,"Keramik, Urnengrab",Urgeschichte,
FUNDPUNKTEOGD.4547479,4547479,POINT (16.38686239322049 48.20541896342231),3,Landstraßer Hauptstraße,9,,"Einzel-, Streufund",Bronzene Tierfigur,Urgeschichte,
FUNDPUNKTEOGD.4547480,4547480,POINT (16.367017245575504 48.20543841818048),1,Albertina,,,Siedlungsbefund,"Mauerwerk, Graben, Keramik",Mittelalter,
FUNDPUNKTEOGD.4547481,4547481,POINT (16.38842815911572 48.192079423672254),3,Hohlweggasse,11,13,Grabbefund,"Körper-, Brand- und Ziegelgräber, Keramik, Ziegel, Würfel, Glas, eiserne Nägel, Mauerwerk",Römerzeit,
FUNDPUNKTEOGD.4547482,4547482,POINT (16.36877194085316 48.21203643817768),1,Färbergasse,6,,Siedlungsbefund,"Mauerwerk, Kacheln, Steinzeugflaschen",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4547483,4547483,POINT (16.366460138334308 48.21117659149215),1,Heidenschuß,3,,Siedlungsbefund,Mauerwerk,unbekannt,
FUNDPUNKTEOGD.4547484,4547484,POINT (16.401071402112706 48.190004098460946),3,Landstraßer Hauptstraße,173,175,"Einzel-, Streufund","Grundstein, Ziegel, Glas",Mittelalter,
FUNDPUNKTEOGD.4547485,4547485,POINT (16.38199652219926 48.24176759359914),20,Stromstraße,,,Siedlungsbefund,Splitterschutzgraben,Neuzeit,
FUNDPUNKTEOGD.4547486,4547486,POINT (16.387655405315698 48.193851819409616),3,Rennweg (Wiener Neustädter Kanal),,,"Einzel-, Streufund",Münzen,Römerzeit,
FUNDPUNKTEOGD.4547487,4547487,POINT (16.36726231672592 48.19984070570275),4,Treitlstraße,,,"Einzel-, Streufund","Flachrelief, Säulen- und Steinfragmente",Römerzeit,
FUNDPUNKTEOGD.4547488,4547488,POINT (16.36424260346225 48.21091645075921),1,Bankgasse,2,,Siedlungsbefund,"Grube, Keramik, Wandmalerei, Tierknochen, Ziegel",Mittelalter,
FUNDPUNKTEOGD.4547489,4547489,POINT (16.391015765008184 48.194484890395636),3,Klimschgasse,,,"Einzel-, Streufund",Steinbeil,Urgeschichte,
FUNDPUNKTEOGD.4547490,4547490,POINT (16.420595370678168 48.13200064985406),10,Klederinger Straße (Johanneskirche),,,Siedlungsbefund,Mauerwerk,Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547491,4547491,POINT (16.37279928628665 48.207886752051586),1,Stephansplatz,3,,Siedlungsbefund,"Mauerwerk, Keramik",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4547492,4547492,POINT (16.376398276627917 48.196357873244125),3,Prinz-Eugen-Straße,,,"Einzel-, Streufund",Bronzenadel,Urgeschichte,
FUNDPUNKTEOGD.4547493,4547493,POINT (16.392264997615584 48.20588615963082),3,Marxergasse,34,,Siedlungsbefund,"Mauerwerk, Keramik",Mittelalter,
FUNDPUNKTEOGD.4547494,4547494,POINT (16.41589218517877 48.13487069927608),10,Unterlaa,,,"Einzel-, Streufund",Keramik,Urgeschichte,
FUNDPUNKTEOGD.4547495,4547495,POINT (16.465778184246812 48.15477518582188),11,Etrichstraße,,,Siedlungsbefund,"Pfostenlöcher, Keramik",Urgeschichte,
FUNDPUNKTEOGD.4547496,4547496,POINT (16.36611998811001 48.21158729293053),1,Renngasse,2,,Siedlungsbefund,"Mauerwerk, Keramik, Ziegel, Münzen",Römerzeit/Neuzeit,
FUNDPUNKTEOGD.4547497,4547497,POINT (16.245675476042962 48.135501067403915),23,Promenadeweg,3,,"Einzel-, Streufund",Lochaxt,Urgeschichte,
FUNDPUNKTEOGD.4547498,4547498,POINT (16.38947844678639 48.193052019177216),3,Aspangstraße (Verbindungsbahn),,,"Einzel-, Streufund","Marmorstatue, Bronzefinger mit Ring",Römerzeit,
FUNDPUNKTEOGD.4547499,4547499,POINT (16.394817303474497 48.193572258003805),3,Klimschgasse,19,21,Grabbefund,"Brandgräber, Grabenanlage, Keramik, Töpfe, Krüge, Öllämpchen, Räucherschalen, Münzen, Nägel, verbrannte Menschenknochen und Tierknochen",Römerzeit,
FUNDPUNKTEOGD.4547500,4547500,POINT (16.392810274123697 48.19267222291568),3,Rennweg,58,60,Siedlungsbefund,"Terra Sigillata, Keramik, Glas, Bronze, Terra Nigra",Römerzeit,
FUNDPUNKTEOGD.4547501,4547501,POINT (16.38309726453072 48.189169207850234),3,Landstraßer Gürtel,3,,"Einzel-, Streufund",Münze,unbekannt,
FUNDPUNKTEOGD.4547502,4547502,POINT (16.394631072934324 48.192124530502674),3,Rennweg,85,87,Siedlungsbefund,"Keramik, Straße",Römerzeit,
FUNDPUNKTEOGD.4547503,4547503,POINT (16.388246286051956 48.192862772927846),3,Hohlweggasse,,,Grabbefund,"Körpergrab, Münze",Römerzeit,
FUNDPUNKTEOGD.4547504,4547504,POINT (16.42803246980832 48.16287388243923),11,Simmeringer Hauptstraße,251,,Siedlungsbefund,Straße,unbekannt,
FUNDPUNKTEOGD.4547505,4547505,POINT (16.47343973660015 48.15984908768229),11,Kaiser-Ebersdorfer-Straße,297,,Siedlungsbefund,"Mauerwerk, Keramik, Glas, Metall",Neuzeit,
FUNDPUNKTEOGD.4547506,4547506,POINT (16.385358218587434 48.19982054989266),3,Tongasse,10,,Siedlungsbefund,"Tierknochen, Keramik",Neuzeit,
FUNDPUNKTEOGD.4547507,4547507,POINT (16.385295714598833 48.19327761793524),3,Jacquingasse,17,,Siedlungsbefund,"Terra Sigillata, Keramik, Eisenstift, Bronzehaken, Grube",Römerzeit,
FUNDPUNKTEOGD.4547508,4547508,POINT (16.386057246285066 48.19314237310144),3,Gerlgasse,,,"Einzel-, Streufund",römische Lampe,Römerzeit,
FUNDPUNKTEOGD.4547509,4547509,POINT (16.416357257545133 48.141949484529306),10,Oberlaa (Flur Unteres Feld),,,"Einzel-, Streufund",Münzen,Römerzeit/Neuzeit,
FUNDPUNKTEOGD.4547510,4547510,POINT (16.389984286025207 48.192532819174765),3,Kleistgasse,,,Grabbefund,"Gräber, Keramik, Glas, Knochen, Ziegel, Schmuck, Münzen, Lampen, Terra Sigillata, silberne Fibel",Römerzeit,
FUNDPUNKTEOGD.4547511,4547511,POINT (16.417984224388608 48.17278534874798),11,Simmeringer Hauptstraße,119,127,Siedlungsbefund,Straße,unbekannt,
FUNDPUNKTEOGD.4547512,4547512,POINT (16.386379198080956 48.19432631916891),3,Rennweg,24,,Siedlungsbefund,Mauerwerk,Römerzeit,
FUNDPUNKTEOGD.4547513,4547513,POINT (16.394587494067082 48.1923254527783),3,Hafengasse,13,,Siedlungsbefund,"Gruben, Boden, Tierknochen, Terra Sigillata, Keramik, Ziegel",Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4547514,4547514,POINT (16.39589411333943 48.20655607924793),3,Weißgerberlände,58,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4547515,4547515,POINT (16.41797672896889 48.13104605756264),10,Kirsteweg,,,Siedlungsbefund,Mauerwerk,Römerzeit,
FUNDPUNKTEOGD.4547516,4547516,POINT (16.39415164564777 48.19199882305744),3,Hafengasse,15,,"Einzel-, Streufund","Keramik, Brandmulde",Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4547517,4547517,POINT (16.393366387437634 48.20036033904189),3,Landstraßer Hauptstraße,75,77,Siedlungsbefund,"Straße, Glasfläschchen, Hufeisen, eiserne Kette",Römerzeit,
FUNDPUNKTEOGD.4547518,4547518,POINT (16.383208831761422 48.19556120104776),3,Rennweg,12a,,Siedlungsbefund,"Mauerwerk, Terra Sigillata, Keramik, Tierknochen, Münzen, Metall",Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4547519,4547519,POINT (16.36923592225064 48.211322729912496),1,Judenplatz,,,Siedlungsbefund,"Mauerwerk, Ziegel",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4547520,4547520,POINT (16.378780628937765 48.19882130490211),3,Traungasse,7,,"Einzel-, Streufund",Säulentrommel,unbekannt,
FUNDPUNKTEOGD.4547521,4547521,POINT (16.367770790228008 48.19231211962788),4,Mayerhofgasse,11,,Siedlungsbefund,"Straße, Boden, Ziegel",Römerzeit,
FUNDPUNKTEOGD.4547522,4547522,POINT (16.38827715991194 48.19293412931436),3,Hohlweggasse,,,"Einzel-, Streufund",weißglasiertes Schweinchen,unbekannt,
FUNDPUNKTEOGD.4547523,4547523,POINT (16.39128729590202 48.1942204850357),3,Boerhaavegasse,14,,Siedlungsbefund,"Straße, Glas, Keramik",Römerzeit,
FUNDPUNKTEOGD.4547524,4547524,POINT (16.383986156328938 48.19511066950386),3,Praetoriusgasse,,,"Einzel-, Streufund","Beinkamm, Bronzefibel, Haarnadel aus Bein, Bronzelampe, Bronzekelch",Römerzeit,
FUNDPUNKTEOGD.4547525,4547525,POINT (16.2183314477488 48.21198783574936),14,Buchbergstraße,5,,Negativbefund,,unbekannt,
FUNDPUNKTEOGD.4547526,4547526,POINT (16.38031822688621 48.197268383748735),3,Marokkanergasse,25,,"Einzel-, Streufund",Votivstein,Römerzeit,
FUNDPUNKTEOGD.4547527,4547527,POINT (16.388904775861036 48.201426660737376),3,Karl-Borromäus-Platz,,,"Einzel-, Streufund",Ziegel,Römerzeit,
FUNDPUNKTEOGD.4547528,4547528,POINT (16.3888915119501 48.1950336542335),3,Stanislausgasse,2,4,Siedlungsbefund,"Mauerwerk, Boden, Ziegel, Terra Sigillata, Terra Nigra, Glas, Kupferblech",Römerzeit,
FUNDPUNKTEOGD.4547529,4547529,POINT (16.361348623334493 48.21457470657164),9,Sigmund-Freud-Park,,,Siedlungsbefund,Estrichböden,Römerzeit,
FUNDPUNKTEOGD.4547530,4547530,POINT (16.388270222038887 48.187739074682746),3,Landstraßer Gürtel (Schweizergarten),,,Siedlungsbefund,"Straße, Münzen",Römerzeit,
FUNDPUNKTEOGD.4547531,4547531,POINT (16.368920261318614 48.211785323419235),1,Drahtgasse,3,,Siedlungsbefund,"Böden, Keramik",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547532,4547532,POINT (16.33228397723733 48.21687516343085),17,Kalvarienberggasse,28,,"Einzel-, Streufund",Ziegel mit Legionsstempel,Römerzeit,
FUNDPUNKTEOGD.4547533,4547533,POINT (16.341154364558758 48.19301454507918),6,Aegidigasse,13,,Siedlungsbefund,"Tierknochen, Keramik",Neuzeit,
FUNDPUNKTEOGD.4547534,4547534,POINT (16.429596552517143 48.161074799004986),11,Simmeringer Hauptstraße,196,,"Einzel-, Streufund",Lappenbeil,Urgeschichte,
FUNDPUNKTEOGD.4547535,4547535,POINT (16.343021307304863 48.16113534273417),10,Inzersdorf (Wienerberger Ziegeleien),,,Grabbefund,Grabinschrift,Römerzeit,
FUNDPUNKTEOGD.4547536,4547536,POINT (16.459541751791654 48.1582656784987),11,Rzehakgasse,,,"Einzel-, Streufund",Bronzenadel,unbekannt,
FUNDPUNKTEOGD.4547537,4547537,POINT (16.42034043596747 48.13174512925856),10,Klederinger Straße,,,"Einzel-, Streufund",zwei Fibeln,Römerzeit,
FUNDPUNKTEOGD.4547538,4547538,POINT (16.369782387379512 48.21088150800488),1,Kurrentgasse,4,8,Siedlungsbefund,"Mauerwerk, Brunnen, Keramik",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4547539,4547539,POINT (16.39063027800196 48.202222359151314),3,Landstraßer Hauptstraße,56,,"Einzel-, Streufund",Münzen,Römerzeit,
FUNDPUNKTEOGD.4547540,4547540,POINT (16.4167036754288 48.1743618302441),11,Krausegasse,1,,Grabbefund,Menschenskeltte,Neuzeit,
FUNDPUNKTEOGD.4547541,4547541,POINT (16.39298032600288 48.192415822479845),3,Steingasse,33,40,Grabbefund,"Brandgräber, Keramik, Glas, Münzen",Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4547542,4547542,POINT (16.386368166146752 48.194420312361245),3,Rennweg,,,"Einzel-, Streufund",Keramik,Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4547543,4547543,POINT (16.383823367514797 48.19475772546188),3,Praetoriusgasse,,,"Einzel-, Streufund",Bleitafel,Römerzeit,
FUNDPUNKTEOGD.4547544,4547544,POINT (16.34168670266293 48.1596088660649),10,"Wienerberg, Inzersdorf",,,Grabbefund,"Grabstein, Sarkophag, Keramik, Münzen",Römerzeit,
FUNDPUNKTEOGD.4547545,4547545,POINT (16.363316057854227 48.151174987360584),10,Laxenburger Straße (Wiener Eisenbahn AG),,,Grabbefund,"Keramik, Messer, Schmuck, Brandgrab",Urgeschichte,
FUNDPUNKTEOGD.4547546,4547546,POINT (16.363675813966434 48.213190423168335),1,Schottengasse,4,,"Einzel-, Streufund",Keramik,Römerzeit,
FUNDPUNKTEOGD.4547547,4547547,POINT (16.440985916441115 48.160837003075116),11,Neugebäude,,,Siedlungsbefund,"Mauerwerk, Straße",Römerzeit,
FUNDPUNKTEOGD.4547548,4547548,POINT (16.26778105821988 48.1901521006882),13,Firmiangasse,27,,"Einzel-, Streufund",Wegmarke,Neuzeit,
FUNDPUNKTEOGD.4547549,4547549,POINT (16.41031772938498 48.19645259507055),3,Stadionbrücke,,,"Einzel-, Streufund",Keramik,Mittelalter,
FUNDPUNKTEOGD.4547550,4547550,POINT (16.38485531642309 48.195120961414865),3,Rennweg (Sacre Coeur),31,33a,Grabbefund,"Steinkistengrab, Eisenteile, Münze",Römerzeit,
FUNDPUNKTEOGD.4547551,4547551,POINT (16.344234887487715 48.19713876828873),7,,2,4,"Einzel-, Streufund",Reliefstein,Neuzeit,
FUNDPUNKTEOGD.4547552,4547552,POINT (16.39606353452441 48.197025666974156),3,Apostelgasse,36,,"Einzel-, Streufund",Keramik,Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4547553,4547553,POINT (16.38900781032853 48.19238085492784),3,Göschlgasse,,,"Einzel-, Streufund",Lampe,Römerzeit,
FUNDPUNKTEOGD.4547554,4547554,POINT (16.42047361394338 48.131032722997766),10,Klederinger Straße (Johanneskirche),,,Siedlungsbefund,"Wohngrube, Keramik, Ziegel",Römerzeit,
FUNDPUNKTEOGD.4547555,4547555,POINT (16.3692339806047 48.21179654698409),1,Judenplatz,7,,Siedlungsbefund,Mauerwerk,Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4547556,4547556,POINT (16.44143747995074 48.158527417263706),11,Neugebäude,,,"Einzel-, Streufund",Münze,unbekannt,
FUNDPUNKTEOGD.4547557,4547557,POINT (16.34218537396433 48.16049568775906),10,"Wienerberg, Inzersdorf",,,Grabbefund,"Sarkophag, Keramik",Römerzeit,
FUNDPUNKTEOGD.4547558,4547558,POINT (16.43637638008287 48.159993713048756),11,"Simmering (Schrebergartenkolonie ""Neugebäude"")",,,Grabbefund,Grab,unbekannt,
FUNDPUNKTEOGD.4547559,4547559,POINT (16.466802971135245 48.14954708661117),11,Csokorgasse,32,,Grabbefund,"Brandgräber, Keramik, Glas, Bronze, Stein, Schmuck, Knochen",Urgeschichte,
FUNDPUNKTEOGD.4547560,4547560,POINT (16.331962923465593 48.21808040364514),17,Elterleinplatz,,,Siedlungsbefund,Öfen,Römerzeit,
FUNDPUNKTEOGD.4547561,4547561,POINT (16.384467102177748 48.19504453885284),3,Rennweg,16,,Siedlungsbefund,Mauerwerk,Römerzeit,
FUNDPUNKTEOGD.4547562,4547562,POINT (16.416165235965536 48.12685949211874),10,Georg-Wiesmayer-Gasse,,,"Einzel-, Streufund",Ziegel mit Stempel,Römerzeit,
FUNDPUNKTEOGD.4547563,4547563,POINT (16.375057358317004 48.20266805081222),1,Schubertring,8,,Siedlungsbefund,"Brunnen, Ziegel mit Stempel",Neuzeit,
FUNDPUNKTEOGD.4547564,4547564,POINT (16.47271805497623 48.16032813911424),11,Kaiser-Ebersdorfer-Straße (Schloß Kaiserebersdorf),297,,"Einzel-, Streufund",Eisenschwert,Mittelalter,
FUNDPUNKTEOGD.4547565,4547565,POINT (16.404812678301543 48.12573758664983),10,Scheunenstraße,,,"Einzel-, Streufund",Flachbeil,Urgeschichte,
FUNDPUNKTEOGD.4547566,4547566,POINT (16.42050960986133 48.13197919178057),10,Klederinger Straße (Johanneskirche),,,Siedlungsbefund,Mauerwerk,Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547567,4547567,POINT (16.36924746255678 48.211921234017574),1,Judenplatz,8,,Siedlungsbefund,"Mauerwerk, Keramik",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4547568,4547568,POINT (16.372469856622978 48.20636547332516),1,Rauhensteingasse,6,8,Siedlungsbefund,"Gruben, Keramik",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4547569,4547569,POINT (16.334994625259597 48.15690526728878),23,Inzersdorf,,,Siedlungsbefund,Meilensteine,Römerzeit,
FUNDPUNKTEOGD.4547570,4547570,POINT (16.379318404555143 48.20801454799217),1,Dominikanerbastei,,,Grabbefund,"Ziegelgräber, Menschenskelett, Ziegel, Münzen, Pferdegrab, Tierknochen, Terra Sigillata, Keramik, Glas",Römerzeit,
FUNDPUNKTEOGD.4547571,4547571,POINT (16.41736992180623 48.17339425157225),11,Simmeringer Hauptstraße,109,131,Siedlungsbefund,Straße,unbekannt,
FUNDPUNKTEOGD.4547572,4547572,POINT (16.39091927075644 48.197729382373716),3,Arenbergpark,,,"Einzel-, Streufund",Inschriftstein (Dekorationsstück),Neuzeit,
FUNDPUNKTEOGD.4547573,4547573,POINT (16.420319501685356 48.13526082930553),10,Klederinger Straße,,,"Einzel-, Streufund",Keramik,Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4547574,4547574,POINT (16.33234577116048 48.176884566309155),12,Pachmüllergasse,22,,Grabbefund,"Körpergräber, Rosenkranzperlen, Buntmetallkreuze, Menschenskelette, Gnadenbild aus Ton",Neuzeit,
FUNDPUNKTEOGD.4547575,4547575,POINT (16.383627030233757 48.19565173485509),3,Reisnerstraße,,,"Einzel-, Streufund",Schwertklinge,Römerzeit,
FUNDPUNKTEOGD.4547576,4547576,POINT (16.38677295516241 48.19278207848369),3,Keilgasse,2,6,"Einzel-, Streufund",Münzen,Römerzeit,
FUNDPUNKTEOGD.4547577,4547577,POINT (16.400537565884584 48.19514108846411),3,Baumgasse,37,39,"Einzel-, Streufund",Glasfläschchen,unbekannt,
FUNDPUNKTEOGD.4547578,4547578,POINT (16.37137670240856 48.18827289541941),4,Graf-Starhemberg-Gasse,32,,Siedlungsbefund,"Mauerwerk, bearbeitete Tierknochen",unbekannt,
FUNDPUNKTEOGD.4547579,4547579,POINT (16.387306688784225 48.195991826942276),3,Ungargasse,69,,Grabbefund,"Grab, Schmuck",Römerzeit,
FUNDPUNKTEOGD.4547580,4547580,POINT (16.36909286370028 48.19909463838685),4,Resselgasse,,,"Einzel-, Streufund","Keramik, Kachel",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4547581,4547581,POINT (16.401111016433752 48.19052938971116),3,Landstraßer Hauptstraße,173,175,Siedlungsbefund,Straße,Römerzeit,
FUNDPUNKTEOGD.4547582,4547582,POINT (16.394003819469972 48.20228706251069),3,Erdbergstraße,12,14,Siedlungsbefund,"Keramik, Glas, Bronzestücke, verzierter Pfeifenkopf, Tierknochen, bearbeitete Knochen, Grube",Neuzeit,
FUNDPUNKTEOGD.4547583,4547583,POINT (16.474531844424295 48.1586057043928),11,Münnichplatz,,,Grabbefund,"Mauerwerk, menschliche Knochen, Kreuze, Medaillons",Neuzeit,
FUNDPUNKTEOGD.4547584,4547584,POINT (16.42016241888403 48.13182098347291),10,Klederinger Straße (Johanneskirche),,,"Einzel-, Streufund","Ziegel, Keramik",Römerzeit,
FUNDPUNKTEOGD.4547585,4547585,POINT (16.38933913870605 48.19473945888201),3,Klimschgasse,2,,Grabbefund,"Brandgräber, Keramik, Eisen- und Bronzereste",Römerzeit,
FUNDPUNKTEOGD.4547586,4547586,POINT (16.385978729049224 48.19459157829996),3,Rennweg,22,,Siedlungsbefund,"Mauerwerk, Ziegel",unbekannt,
FUNDPUNKTEOGD.4547587,4547587,POINT (16.39654907710815 48.17298078977212),10,Quellenstraße,,,"Einzel-, Streufund",Terra Sigillata,Römerzeit,
FUNDPUNKTEOGD.4547588,4547588,POINT (16.46480988766212 48.14754810654298),11,Csokorgasse,,,Grabbefund,"Gräber, Urnen, Keramik, Messer",Urgeschichte,
FUNDPUNKTEOGD.4547589,4547589,POINT (16.395354123828902 48.20773510927122),3,Kegelgasse,44,,"Einzel-, Streufund","Keramik, Knochen, Schnecken",Mittelalter,
FUNDPUNKTEOGD.4547590,4547590,POINT (16.390075492077994 48.203487941090856),3,Landstraßer Hauptstraße,39,,"Einzel-, Streufund","Terra Sigillata, Keramik",Römerzeit,
FUNDPUNKTEOGD.4547591,4547591,POINT (16.419841397939305 48.13176877755114),10,Kirsteweg,,,"Einzel-, Streufund","Plombe, Münzen",Römerzeit,
FUNDPUNKTEOGD.4547592,4547592,POINT (16.37229921171911 48.211207035646986),1,Hoher Markt,,,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4547593,4547593,POINT (16.42053561330558 48.13194287556591),10,Klederinger Straße (Johanneskirche),,,Siedlungsbefund,Mauerwerk,Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547594,4547594,POINT (16.466972707737984 48.14946808511204),11,Csokorgasse,,,Grabbefund,"Keramik, Brandgrab",Urgeschichte,
FUNDPUNKTEOGD.4547595,4547595,POINT (16.379646339909332 48.197465654870065),3,Rennweg,9,,"Einzel-, Streufund","Keramik, Knochen",Neuzeit,
FUNDPUNKTEOGD.4547596,4547596,POINT (16.420676716714485 48.132074326445064),10,Klederinger Straße (Johanneskirche),,,Siedlungsbefund,Mauerwerk,Römerzeit,
FUNDPUNKTEOGD.4547597,4547597,POINT (16.356471595271824 48.22171544072457),9,Boltzmanngasse,,,Siedlungsbefund,"Grube, Ziegel",Römerzeit,
FUNDPUNKTEOGD.4547598,4547598,POINT (16.341962498703737 48.209405785500145),8,Stolzenthalergasse,,,"Einzel-, Streufund",Goldmünze,Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4547599,4547599,POINT (16.364365447730297 48.213900314901736),1,Schottenbasteigasse,,,"Einzel-, Streufund",römische Münzen,Römerzeit,
FUNDPUNKTEOGD.4547600,4547600,POINT (16.2808542640738 48.14036717015204),23,Rudolf Zeller-Gasse,,,Siedlungsbefund,römische Wasserleitung,Römerzeit,
FUNDPUNKTEOGD.4547601,4547601,POINT (16.349540417349484 48.20528678666574),7,Neustiftgasse,57,59,"Einzel-, Streufund","Keramik, Kachel",Neuzeit,
FUNDPUNKTEOGD.4547602,4547602,POINT (16.35994145294956 48.21594264884562),9,Sigmund-Freud-Park (Votivkirchenpark),,,Siedlungsbefund,"Mauerwerk, Keramik",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547603,4547603,POINT (16.340351909559388 48.20267140649085),7,Kaiserstraße,,,Grabbefund,"Grab, Schmuck, Waffen",Urgeschichte,
FUNDPUNKTEOGD.4547604,4547604,POINT (16.39174022700284 48.19232143336774),3,Aspangstraße,29,,Siedlungsbefund,"Grube, Keramik, Terra Sigillata, Terra Nigra, Beinnadel",Römerzeit,
FUNDPUNKTEOGD.4547605,4547605,POINT (16.365605397574452 48.21136723613082),1,Freyung,3,,Grabbefund,"Gräber, Menschenskelette, Bronzen",Römerzeit,
FUNDPUNKTEOGD.4547606,4547606,POINT (16.356114851269997 48.21767002831103),9,Garnisongasse,22,,Grabbefund,Menschenskelette,Neuzeit,
FUNDPUNKTEOGD.4547607,4547607,POINT (16.348998541604033 48.20033603137252),7,Neubaugasse,17,19,"Einzel-, Streufund",Keramik,unbekannt,
FUNDPUNKTEOGD.4547608,4547608,POINT (16.35970909039463 48.2014412656525),7,Mariahilfer Straße,8,,"Einzel-, Streufund",Keramik,unbekannt,
FUNDPUNKTEOGD.4547609,4547609,POINT (16.356246424029926 48.220944844094426),9,Währinger Straße,,,"Einzel-, Streufund","Keramik, Ziegel, Terra Sigillata, Terra Nigra",Römerzeit,
FUNDPUNKTEOGD.4547610,4547610,POINT (16.360226829091346 48.21471995366383),9,Sigmund-Freud-Park,,,Grabbefund,"Grab, Keramik",Römerzeit,
FUNDPUNKTEOGD.4547611,4547611,POINT (16.34154281231561 48.20347554005079),7,Halbgasse,3,5,"Einzel-, Streufund",Ziegel,Römerzeit,
FUNDPUNKTEOGD.4547612,4547612,POINT (16.359999147428688 48.21604374751755),9,Sigmund-Freud-Park,,,Siedlungsbefund,"Keramik, Altar, Skelettm Gräber, Mauerwerk",Römerzeit,
FUNDPUNKTEOGD.4547613,4547613,POINT (16.3538657902275 48.22435208391095),9,Nußdorfer Straße,15,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4547614,4547614,POINT (16.355703109640025 48.21897536378544),9,Van-Swieten-Gasse,1,,Grabbefund,"Keramik, Tonlampe, Münze",Römerzeit,
FUNDPUNKTEOGD.4547615,4547615,POINT (16.358568314302918 48.21464741731099),9,Rooseveltplatz,2,6,"Einzel-, Streufund",Keramik,Neuzeit,
FUNDPUNKTEOGD.4547616,4547616,POINT (16.36002655376443 48.21646778054371),9,Währinger Straße,,,Siedlungsbefund,Keramik,Mittelalter,
FUNDPUNKTEOGD.4547617,4547617,POINT (16.34714589629459 48.214026200280856),8,Daungasse,,,Siedlungsbefund,Mauerwerk,unbekannt,
FUNDPUNKTEOGD.4547618,4547618,POINT (16.36330403125348 48.21753806256911),9,Türkenstraße,12,,"Einzel-, Streufund",Keramik,Mittelalter,
FUNDPUNKTEOGD.4547619,4547619,POINT (16.35549013758803 48.221230669892606),9,Währinger Straße,,,"Einzel-, Streufund","Münze,  Bronzeapplike",Römerzeit,
